,district,ward,coordinates,kind,Legal,surface,floor,bedRoom,bathRoom,environment,utility,price
6296,Quận 1,Phường Nguyễn Cư Trinh,"[10.76242, 106.68446]",Nhà phố,"[1, 0, 0]",50.0,4.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",100000000.0
6297,Quận 1,Phường Phạm Ngũ Lão,"[10.7674, 106.69221]",Nhà phố,"[1, 0, 0]",72.0,,,,"Trường học,Công viên,Khu an ninh ,",,388888888.889
6298,Quận Bình Tân,Phường Bình Trị Đông A,"[10.76764, 106.59339]",Nhà phố,"[1, 0, 0]",51.0,4.0,,,,,78431372.549
6299,Quận 10,Phường 01,"[10.81725, 106.68799]",Nhà phố,"[1, 0, 0]",43.0,4.0,3.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",155813953.488
6300,Quận 10,Phường 08,"[10.76609, 106.66681]",Nhà phố,"[1, 0, 0]",50.0,3.0,4.0,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",132000000.0
6301,Quận Tân Phú,Phường Phú Thạnh,"[10.77984, 106.63111]",Nhà phố,"[1, 0, 0]",26.0,1.0,2.0,2.0,"Khu an ninh ,",,138461538.462
6302,Quận Tân Phú,Phường Tây Thạnh,"[10.81389, 106.62209]",Nhà phố,"[1, 0, 0]",173.0,3.0,15.0,,,,69364161.8497
6303,Quận 5,Phường 02,"[10.76459, 106.67332]",Nhà phố,"[1, 0, 0]",24.0,3.0,2.0,3.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi ,",212500000.0
6304,Quận Tân Phú,Phường Tân Sơn Nhì,"[10.79847, 106.62961]",Nhà phố,"[1, 0, 0]",76.0,,,,,,98684210.5263
6305,Quận 6,Phường 10,"[10.73628, 106.62848]",Nhà phố,"[1, 0, 0]",74.0,3.0,,,,,56756756.7568
6306,Huyện Củ Chi,Xã Tân Phú Trung,"[10.92765, 106.55758]",Nhà phố,"[1, 0, 0]",70.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn ,",8571428.57143
6307,Quận 10,Phường 11,"[10.77378, 106.67901]",Nhà phố,"[1, 0, 0]",51.0,3.0,6.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi ,",131372549.02
6308,Quận Gò Vấp,Phường 03,"[10.81913, 106.68037]",Nhà phố,"[1, 0, 0]",100.0,3.0,,,,,110000000.0
6309,Quận 3,Phường 01,"[10.75423, 106.67891]",Nhà phố,"[1, 0, 0]",49.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",97959183.6735
6310,Quận Tân Bình,Phường 12,"[10.80121, 106.65062]",Nhà phố,"[1, 0, 0]",185.0,7.0,,,,,134054054.054
6311,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",216.0,,,,"Trường học ,","Đầy đủ nội thất,Phòng tập gym ,",148148148.148
6312,Quận Tân Bình,Phường 02,"[10.80612, 106.66277]",Nhà phố,"[1, 0, 0]",60.0,,,,"Trường học ,","Máy giặt,Phòng tập gym ,",366666666.667
6313,Quận 1,Phường Phạm Ngũ Lão,"[10.7674, 106.69221]",Nhà phố,"[1, 0, 0]",70.0,,,,"Trường học,Công viên,Khu an ninh ,",,542857142.857
6314,Quận 1,Phường Tân Ðịnh,"[10.79315, 106.69044]",Nhà phố,"[1, 0, 0]",72.0,,,,"Trường học ,","Đầy đủ nội thất,Phòng tập gym ,",229166666.667
6315,Quận 1,Phường Nguyễn Cư Trinh,"[10.76242, 106.68446]",Nhà phố,"[1, 0, 0]",112.0,,,,"Trường học,Công viên,Khu an ninh ,",,116071428.571
6316,Quận 12,Phường Thạnh Lộc,"[10.87822, 106.68548]",Nhà phố,"[1, 0, 0]",76.0,1.0,4.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",28947368.4211
6317,Quận Tân Bình,Phường 01,"[10.79684, 106.66613]",Nhà phố,"[1, 0, 0]",80.0,,,,,,102500000.0
6318,Quận 10,Phường 05,"[10.76168, 106.66589]",Nhà phố,"[1, 0, 0]",36.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",130555555.556
6319,Quận 10,Phường 05,"[10.76168, 106.66589]",Nhà phố,,47.0,3.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",189361702.128
6320,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,"[1, 0, 0]",48.0,3.0,4.0,4.0,"Trường học,Siêu thị,Bệnh viện,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất ,",114583333.333
6321,Quận 9,Phường Phú Hữu,"[10.79757, 106.80281]",Nhà phố,"[1, 0, 0]",20.0,2.0,3.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Hồ bơi,Ban công / Sân thượng,Đầy đủ nội thất,Sân vườn,Phòng tập gym ,",130000000.0
6322,Quận 5,Phường 02,"[10.76459, 106.67332]",Nhà phố,"[1, 0, 0]",45.0,2.0,4.0,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",166666666.667
6323,Quận 9,Phường Phú Hữu,"[10.79757, 106.80281]",Nhà phố,"[1, 0, 0]",151.0,2.0,3.0,3.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Hồ bơi,Ban công / Sân thượng,Sân vườn,Phòng tập gym ,",17218543.0464
